dt_local,hour_local,topic_mid,value,topic_label,geo,run_id,phase
2025-08-13 15:00:00+02:00,15,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-13 16:00:00+02:00,16,/m/01wgr,18,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-13 17:00:00+02:00,17,/m/01wgr,18,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-13 18:00:00+02:00,18,/m/01wgr,19,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-13 19:00:00+02:00,19,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-13 20:00:00+02:00,20,/m/01wgr,17,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-13 21:00:00+02:00,21,/m/01wgr,18,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-13 22:00:00+02:00,22,/m/01wgr,24,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-13 23:00:00+02:00,23,/m/01wgr,29,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 00:00:00+02:00,0,/m/01wgr,71,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 01:00:00+02:00,1,/m/01wgr,74,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 02:00:00+02:00,2,/m/01wgr,62,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 03:00:00+02:00,3,/m/01wgr,77,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 04:00:00+02:00,4,/m/01wgr,78,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 05:00:00+02:00,5,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 06:00:00+02:00,6,/m/01wgr,65,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 07:00:00+02:00,7,/m/01wgr,41,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 08:00:00+02:00,8,/m/01wgr,30,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 09:00:00+02:00,9,/m/01wgr,23,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 10:00:00+02:00,10,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 11:00:00+02:00,11,/m/01wgr,30,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 12:00:00+02:00,12,/m/01wgr,22,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 13:00:00+02:00,13,/m/01wgr,27,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 14:00:00+02:00,14,/m/01wgr,40,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 15:00:00+02:00,15,/m/01wgr,32,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 16:00:00+02:00,16,/m/01wgr,24,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 17:00:00+02:00,17,/m/01wgr,26,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 18:00:00+02:00,18,/m/01wgr,21,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 19:00:00+02:00,19,/m/01wgr,18,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 20:00:00+02:00,20,/m/01wgr,30,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 21:00:00+02:00,21,/m/01wgr,22,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 22:00:00+02:00,22,/m/01wgr,34,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-14 23:00:00+02:00,23,/m/01wgr,47,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 00:00:00+02:00,0,/m/01wgr,52,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 01:00:00+02:00,1,/m/01wgr,63,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 02:00:00+02:00,2,/m/01wgr,79,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 03:00:00+02:00,3,/m/01wgr,74,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 04:00:00+02:00,4,/m/01wgr,100,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 05:00:00+02:00,5,/m/01wgr,68,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 06:00:00+02:00,6,/m/01wgr,54,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 07:00:00+02:00,7,/m/01wgr,35,cardiologie,FR,78bb1073,hourly_7d_bootstrap
