run_id,start_ts,end_ts,status,rows,error_msg
4fbe7150,2025-08-20T08:50:54,2025-08-20T08:50:56,SUCCESS,507,
925db279,2025-08-20T08:50:57,2025-08-20T08:50:57,SUCCESS,507,
e27bfca1,2025-08-20T09:17:21,2025-08-20T09:17:22,FAILED,0,[Errno 13] Permission denied: '/data/trends.csv'
795255c6,2025-08-20T09:17:23,2025-08-20T09:17:24,FAILED,0,[Errno 13] Permission denied: '/data/trends.csv'
b3133c5d,2025-08-20T09:26:31,2025-08-20T09:26:31,FAILED,0,[Errno 13] Permission denied: '/data/trends.csv'
11a542ab,2025-08-20T09:26:32,2025-08-20T09:26:33,FAILED,0,[Errno 13] Permission denied: '/data/trends.csv'
a9821983,2025-08-20T09:26:57,2025-08-20T09:26:58,FAILED,0,[Errno 13] Permission denied: '/data/trends.csv'
d9877093,2025-08-20T09:26:59,2025-08-20T09:26:59,FAILED,0,[Errno 13] Permission denied: '/data/trends.csv'
8ecf20c8,2025-08-20T09:30:39,2025-08-20T09:30:39,SUCCESS,507,
55186099,2025-08-20T09:30:40,2025-08-20T09:30:41,SUCCESS,507,
277e417f,2025-08-20T09:43:09,2025-08-20T09:43:12,SUCCESS,507,
7e948b86,2025-08-20T09:43:23,2025-08-20T09:43:24,SUCCESS,507,
01800c3a,2025-08-20T09:48:10,2025-08-20T09:48:11,FAILED,0,[Errno 13] Permission denied: '/data/trends.csv'
67c3f6d0,2025-08-20T09:48:12,2025-08-20T09:48:13,FAILED,0,[Errno 13] Permission denied: '/data/trends.csv'
5b0fe9f7,2025-08-20T09:48:32,2025-08-20T09:48:33,SUCCESS,507,
653e4a97,2025-08-20T09:50:38,2025-08-20T09:50:39,FAILED,0,The request failed: Google returned a response with code 429
